Feature	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
31451_at	335.108	277.822	334.227	346.969	325.229	215.827	397.304	328.759	262.136	342.005	372.747	224.901	213.557	261.957	285.056	343.667	306.337	412.567	467.092	354.281	343.198	538.56	228.745	238.739	239.786	451.23
31452_at	66.4654	44.4367	37.4708	37.3218	66.8436	33.5278	52.6378	23.5485	37.3264	31.9545	26.8717	35.5609	39.2447	38.8147	41.1304	49.9468	35.7701	80.7445	64.3961	25.637	33.6467	54.1507	39.6945	50.3452	73.9264	37.8454
31453_s_at	86.0123	68.6069	55.9757	57.9184	43.8797	29.0743	56.2434	28.9632	37.2226	92.5985	36.0099	42.3085	45.558	29.6072	47.4723	37.6753	77.9582	84.7391	76.1911	31.0081	58.9204	73.0012	45.1939	25.8187	36.0309	53.2007
31454_f_at	72.9268	16.3172	42.6704	48.6221	22.1161	26.98	58.5563	32.4677	44.4505	53.7139	28.4521	38.2248	42.9064	39.9453	45.6532	17.743	44.4995	66.967	83.2083	29.8338	30.6993	55.4213	13.7713	30.6562	33.3687	65.4184
31455_r_at	44.994	3.4138	24.337	32.3597	26.9722	3.84226	48.2016	15.6095	9.80769	21.4681	16.6598	23.7824	41.2092	18.349	21.6557	23.795	22.9144	51.0009	46.4905	2.26946	21.9813	58.4307	24.4483	27.1836	26.1832	23.8741
31456_at	9.38836	-3.38286	56.2867	17.1126	17.6747	15.2119	22.27	29.6611	28.258	27.0079	16.615	36.5926	25.2691	23.3791	34.7265	28.4899	39.9449	26.7375	18.0486	26.7666	34.1661	28.2636	23.2166	24.7247	28.3214	41.1479
31457_at	444.915	285.917	462.89	475.902	416.37	416.473	533.109	263.733	311.98	421.99	395.562	329.908	416.211	413.473	446.774	391.945	370.19	480.525	489.009	362.02	397.846	558.944	421.695	461.369	337.965	439.898
31458_at	92.0446	126.127	176.691	139.969	132.339	94.0782	180.547	83.1204	145.188	191.869	89.2151	151.346	131.378	113.186	84.824	100.785	129.158	124.697	74.2649	115.711	172.861	130.972	141.163	149.096	127.288	137.748
31459_i_at	10.0007	0.609841	6.97726	2.52464	1.41274	5.65606	10.7022	10.8203	-13.876	10.0729	-3.48287	2.20718	14.8044	2.09751	11.7275	-5.28743	18.4312	10.7221	4.50381	11.7932	18.11	9.68121	5.23799	4.03206	-0.606596	-0.908171
31460_f_at	18.8823	59.5828	12.3479	13.3328	8.88926	6.8239	15.3744	0.0645667	-6.60292	24.6545	0.949098	-6.77795	-12.8104	7.43113	-7.08199	24.6998	-3.72863	27.7304	29.8879	-32.3943	-14.0195	34.9358	14.9818	31.8861	54.0417	78.0279
31461_at	58.7393	4.21187	61.623	50.5703	27.3809	29.7649	66.0203	20.8901	27.446	73.4274	24.0036	32.9619	41.5559	11.7495	48.6305	36.4727	33.1532	59.3173	49.1869	32.0935	49.0661	75.5451	42.4541	58.9681	31.1683	33.4717
31462_f_at	13.3018	8.49004	-40.8948	8.63196	6.57349	33.117	2.8568	17.402	52.3413	-5.67084	17.1753	9.10169	25.2181	12.2955	28.8085	5.44548	16.5481	69.1332	0.631129	29.629	19.4589	10.1148	14.3148	4.73846	13.4045	8.48149
31463_s_at	569.842	870.198	496.399	724.818	1139.67	922.994	380.877	2317.54	1437.92	508.396	2020.4	1484.18	910.831	1782.61	1075.68	1542.53	750.471	415.189	1000.79	2198.45	485.993	242.757	1018.29	1079.05	805.616	586.873
31464_at	37.662	13.2164	12.4289	13.4701	7.90949	2.95855	23.7808	-1.71971	14.9031	16.2005	9.37298	-1.97644	43.8009	19.2064	12.0825	15.6564	15.7297	34.8442	11.3707	10.5357	-5.94627	25.2692	44.1777	10.5102	10.0587	11.0941
31465_g_at	40.3649	14.4078	16.7948	25.8875	16.9425	25.7804	23.4922	15.5579	6.43931	20.4873	22.2364	9.40026	26.3252	14.4603	25.3304	1.72514	17.9517	30.0275	18.8654	2.06974	19.3554	31.3001	18.0954	10.7358	20.1677	20.149
31466_at	226.662	203.901	234.34	175.004	161.962	182.436	192.561	175.414	191.186	199.64	194.071	184.919	154.752	209.874	192.562	175.246	227.91	196.203	238.469	160.126	203.228	186.852	174.692	171.903	187.757	279.665
31467_at	12.82	14.9982	18.1656	26.7092	13.7585	14.506	18.2562	17.9223	62.2038	20.8818	17.2649	18.7039	12.9101	6.45993	26.608	16.8081	29.0455	8.14025	23.2369	17.9661	15.4995	23.7675	1.13532	21.6532	11.2774	18.8279
31468_f_at	391.518	252.349	744.438	628.343	621.043	558.625	395.242	132.269	533.959	602.088	733.02	675.331	687.584	1194.03	392.937	592.958	1137.05	170.304	718.064	557.344	182.748	243.991	177.388	1614.61	328.201	254.824
31469_s_at	110.782	74.7691	52.0471	74.8407	94.3556	50.9544	160.002	49.3328	52.2601	53.0939	63.9442	80.7041	88.6125	77.9975	66.2018	58.0536	-10.154	111.209	89.7505	30.7372	33.6588	124.371	76.7073	69.1148	84.7311	69.7076
31470_at	7.59043	10.7374	26.1707	9.15695	8.18545	7.1015	25.6545	20.0075	-0.812122	11.985	12.6841	7.85682	-0.336495	19.6906	6.86363	16.8238	17.0133	9.7514	9.75831	5.81217	12.4801	12.6768	6.18476	-1.06577	2.97481	21.5575
31471_at	194.394	170.651	277.678	270.383	198.797	232.798	277.682	161.866	163.045	283.946	161.425	157.12	198.312	186.337	251.672	196.898	205.213	266.524	170.33	173.58	250.566	219.736	211.823	246.209	216.429	221.416
31472_s_at	27.4265	97.6762	59.6709	43.9764	207.15	176.539	44.8341	96.6339	97.5818	33.3808	97.0986	292.043	94.2741	60.5553	91.9728	173.092	27.6867	49.1039	28.7157	28.031	89.4413	74.2949	91.4271	60.9519	119.826	91.442
31473_s_at	7.68662	33.0937	8.88736	10.0378	13.595	13.849	3.6194	-1.22723	4.27843	7.65265	8.80042	5.51988	17.5389	5.50611	22.2643	19.4727	9.59297	18.0585	8.9678	113.638	1.24338	15.8069	3.23425	8.55947	15.2975	13.8932
31474_r_at	65.2073	35.1276	67.9387	66.9586	59.9965	55.0411	64.0872	28.5114	49.925	79.7055	58.5091	54.3092	51.9669	32.9364	74.2767	32.409	64.6394	63.3793	112.746	44.2328	62.8193	64.9143	43.7706	53.5345	77.9347	77.73
31475_at	119.647	200.758	166.966	159.203	156.247	112.844	145.975	69.8331	117.116	179.645	110.127	113.512	88.3272	92.4704	126.254	157.622	171.64	193.721	78.4019	119.839	135.39	141.896	118.826	107.852	92.9012	155.463
31476_g_at	16.0125	24.2109	38.5175	42.1448	37.4272	38.1649	51.5657	19.9071	26.2354	71.8716	30.2948	22.944	36.4551	15.2531	37.9815	40.8702	20.2732	30.783	25.9762	13.3271	26.084	46.0688	27.0587	15.5495	22.1988	26.8256
31477_at	1281.78	808.399	2748.11	26.7318	1797.91	2629.76	143.639	3594.62	107.634	2280.1	792.965	0.00333823	461.577	7.7857	209.963	1926.03	551.24	120.978	169.867	3588.49	66.58	18.6799	2702.13	1089.79	349.427	29.1519
31478_at	226.635	176.946	285.982	223.828	173.597	208.982	241.318	184.264	183.655	271.502	185.47	203.611	165.445	188.105	191.709	209.951	215.793	227.752	206.853	180.036	304.39	228.678	235.38	100.743	189.126	245.039
31479_f_at	10.8538	10.668	11.8812	3.47616	-7.73911	8.91111	16.6696	36.2862	44.0061	18.3756	25.4438	18.8989	36.2047	11.737	12.6392	19.1415	22.2288	11.044	23.486	12.2911	15.5656	17.3736	10.0865	-9.84966	38.4599	6.1962
31480_f_at	17.5639	23.3083	17.6829	15.4544	9.15676	3.69219	22.2736	-0.250289	10.6966	16.292	15.206	15.0135	24.8808	7.2607	6.46965	-1.09743	13.2424	14.0334	6.17877	6.12067	0.0976848	14.7902	5.50446	8.50146	40.6279	28.6359
31481_s_at	1335.61	2208.33	1051.91	1094.93	1813.15	2237.49	979.66	2657.7	1861.3	899.497	1653.84	1072.25	1081.74	3617.54	1395.67	1946.8	2093.72	1425.13	1152.77	2513.45	2026.74	904.369	2175.88	2509.63	1433.23	2230.02
31482_at	86.3719	62.0363	156.014	112.442	55.28	87.4336	101.48	66.4338	68.6117	106.102	96.7924	84.0077	36.55	71.8314	95.0177	90.6256	118.054	63.0943	192.186	130.452	93.9433	30.203	51.4997	88.4241	48.5369	56.2641
31483_g_at	62.4806	40.6219	48.2021	34.9869	44.1372	29.7085	14.9272	45.9629	55.3026	36.3051	46.6804	45.5236	23.7109	31.2533	42.7501	54.4008	55.8656	42.0432	58.7668	43.649	50.5064	39.7144	50.5894	11.468	28.5485	54.0002
31484_at	195.822	64.4413	159.216	136.226	139.674	92.6406	194.998	158.683	120.201	172.514	129.393	166.489	159.069	111.588	125.366	133.856	181.877	197.522	225.352	164.033	136.347	200.381	95.3916	93.436	160.872	198.39
31485_at	244.137	104.971	139.037	173.703	139.307	108.641	272.543	84.2689	143.756	84.6076	139.963	143.034	233.972	121.778	101.043	87.6597	114.434	223.889	306.653	86.9239	107.083	242.083	148.45	136.846	143.716	127.556
31486_s_at	14.4861	22.7284	18.6021	18.477	5.67999	12.5881	30.1638	11.0174	24.2935	14.9555	3.9302	16.4508	12.9205	15.4925	24.6033	-6.63018	25.1648	22.6631	30.2744	-4.89138	0.193948	29.385	6.40436	14.834	4.11928	19.2836
31487_at	46.9659	600.467	45.0407	40.0883	12.0538	24.5561	38.2265	12.8382	7.63267	42.3853	23.1836	24.3721	28.5951	10.2916	34.9832	31.2292	37.2732	51.5177	32.5775	2.61077	56.348	39.6679	23.5829	12.8876	21.8384	23.3047
31488_s_at	195.317	361.212	180.731	153.399	199.397	277.109	156.142	461.884	273.163	76.7314	349.028	270.51	108.56	373.124	459.64	373.655	199.615	250.103	69.0377	318.083	559.336	217.316	330.852	87.0857	239.402	311.924
31489_at	5.81787	-6.01692	2.32048	7.51711	6.77999	0.0555992	4.26759	1.2479	6.46505	9.74661	-13.9703	0.128169	-6.12013	-5.67633	-2.3563	4.77085	-2.11748	-4.79409	8.76418	-9.8494	-1.34568	0.453118	-0.310719	-4.64621	10.6622	5.13927
31490_at	184.517	291.5	184.486	160.627	120.684	168.556	162.979	186.49	130.595	177.697	205.086	231.787	191.418	263.947	194.104	326.268	194.627	200.241	167.482	226.599	131.805	146.591	207.436	227.816	278.97	169.6
31491_s_at	22.0721	21.2316	16.5329	11.9868	14.8007	21.9422	25.2755	40.9668	24.3482	28.1345	23.3787	15.2198	12.2177	28.3399	32.6242	36.6104	20.2581	16.6868	12.9271	27.9181	28.0195	27.3242	21.3795	12.562	21.3151	31.9776
31492_at	199.422	473.545	105.691	215.151	385.285	242.008	123.551	410.214	570.118	79.7277	565.436	491.515	231.754	511.64	208.027	415.757	225.932	102.159	212.637	709.636	78.0697	99.2733	284.009	421.94	294.656	350.559
31493_s_at	16.2109	20.4983	41.7953	54.3479	-3.4299	13.2175	23.4759	35.1459	10.9965	46.0504	11.5014	56.7006	37.0556	28.4413	104.251	-10.3339	125.897	22.8715	-13.1019	58.3088	40.3857	-6.54072	36.3695	16.9143	-10.3959	59.0126
31494_at	6.64863	31.2972	0.693056	3.20111	2.18153	-5.18207	2.36219	7.58523	18.2516	3.37234	25.2942	2.14923	6.70182	0.574707	-0.780733	5.03371	14.3432	4.64345	-10.4586	8.21628	4.25619	6.56623	-7.45753	2.74598	8.45477	2.91583
31495_at	161.7	150.28	116.963	134.432	91.8316	67.707	141.662	86.1551	73.701	173.442	115.304	76.0331	87.9948	68.9702	105.502	145.241	97.1932	209.266	155.464	53.439	106.778	172.795	108.835	63.8839	97.329	141.862
31496_g_at	44.5963	111.154	26.7144	44.7578	48.117	18.8392	36.5043	74.4591	42.386	37.7323	30.4287	25.3416	36.1115	20.9132	37.781	98.7188	17.4086	49.3408	56.8248	27.9726	46.9773	67.0636	28.6744	17.5857	60.5502	68.935
31497_at	505.617	182.812	244.615	371.959	367.658	200.762	675.211	147.043	281.665	281.782	467.942	315.647	612.477	272.211	291.185	232.926	236.933	468.176	599.134	152.485	146.015	498.539	351.821	413.069	278.355	256.027
31498_f_at	110.631	93.91	117.343	115.912	114.124	93.2498	135.162	50.2503	51.0993	192.507	78.5613	60.7932	84.2877	63.9764	1161.23	65.1305	73.5888	106.673	92.2997	56.2261	120.829	140.281	81.5486	87.988	107.299	112.449
31499_s_at	185.215	372.524	108.422	58.0414	65.8494	131.197	74.976	155.398	156.168	65.114	332.408	93.3669	40.2468	48.3643	235.632	305.526	59.5797	172.501	51.1154	35.4081	175.308	126.26	162.442	46.8763	245.074	282.703
31500_at	27.4203	72.3758	59.9884	89.2656	65.9354	38.8349	206.357	38.0677	71.8904	54.3543	68.0818	61.774	80.9183	30.8804	46.5727	39.0101	55.2935	43.7646	33.7343	49.3529	45.3821	77.8774	66.8129	79.4983	44.4103	42.7275
31501_at	24.4519	15.8334	23.0708	25.785	7.48233	11.7789	20.2907	17.9086	15.0406	28.8901	26.654	24.7379	20.9539	21.9132	27.6308	16.5698	22.0871	34.6348	23.6795	23.6595	24.7305	31.0841	7.60735	23.5537	7.58657	26.8873
31502_at	216.36	147.966	201.693	199.259	143.672	150.893	205.251	81.876	96.8189	207.512	139.279	142.502	127.597	122.642	159.657	133.832	195.733	216.858	203.75	101.075	164.084	234.303	162.102	156.533	134.182	280.86
31503_at	255.058	267.088	373.406	238.99	199.44	281.69	318.483	262.617	267.787	302.66	305.494	273.436	149.293	233.14	300.935	318.781	225.552	260.969	179.768	201.208	298.482	259.19	287.533	142.026	252.512	337.124
31504_at	309.114	813.374	331.275	303.492	657.109	697.327	363.072	923.903	1033.72	312.493	968.042	559.009	690.077	1010.75	557.992	1051.04	383.538	302.636	436.384	1349.67	265.155	271.516	631.07	625.897	497.34	184.335
31505_at	4667.83	2995.08	2239.38	3536.17	4029.17	2363.54	1549.66	3372.24	4213.76	2511.98	4295.6	4565.57	3202.51	5954.55	2116.27	3344.31	4529.62	1863.93	4338.32	4097.11	1623.42	3717.97	3388.32	3069.9	2769.34	4173.32
31506_s_at	112.576	66.3044	114.994	129.548	59.3436	98.4533	74.9918	65.0195	63.4817	115.631	66.1099	91.3635	68.2316	69.8307	1054.46	57.0384	88.9723	111.276	118.207	57.5865	120.842	94.2988	79.7706	93.4094	86.3409	109.806
31507_at	91.4096	46.9761	116.796	139.689	49.4573	49.2495	77.6235	56.1913	29.8674	84.6329	47.9075	51.3326	36.8647	43.5644	73.9035	52.8896	147.116	81.7995	111.672	46.8813	74.8246	71.7809	57.3322	50.3598	34.5141	108.091
31508_at	633.803	1468.57	628.728	2010.77	1927.59	1184.74	730.908	1989.38	2468.85	767.382	1671.49	1216.42	2056.22	685.638	1217.01	2427.39	818.793	685.466	1810.67	2496.72	873.725	694.162	1271.83	1902.77	1142.92	562.811
31509_at	2329.11	2370.87	1887.55	2790.52	2961.98	1743.97	2267.07	3297.89	3093.27	1931.97	3009.75	2264.58	2154.64	2882.43	1460.15	3146.21	2845.39	1808.08	3395.32	4302.08	1696.78	1565.52	2471.53	3014.6	1870.69	2741.53
31510_s_at	-31.0105	-59.0063	-81.7433	-77.6557	-33.9927	-146.388	-15.9843	-48.9684	-23.3657	-74.91	-51.6177	-10.6544	-9.95432	-83.7943	-88.8	-33.1885	-117.257	-10.9104	-38.9316	-14.5668	-58.2311	-7.65442	-29.1697	-71.304	2.52721	-84.3726
31511_at	2809.33	3676.6	2448.39	3973.05	3411.82	2625.96	2228.87	3520.01	4172.56	2442.8	4419.01	3693.04	3391.38	3310.72	1992.36	3671.85	3771.48	2189.63	4429.26	4226.52	2161.09	2008.76	3267.69	3680.73	2870.88	4270.95
31512_at	9.45511	148.159	8.64014	7.47499	60.5111	-0.550366	-1.32209	21.7884	54.6128	6.76813	1.49445	2.36806	25.0875	-0.662038	6.53622	53.1269	9.29057	17.3143	-5.22744	7.23516	154.495	56.0799	5.95262	-1.80914	79.2371	179.225
31513_at	2.93526	12.0201	5.43453	1.14975	0.298467	-20.5783	16.2259	29.6134	25.3713	9.87214	33.3544	7.91398	8.04776	15.7596	5.29332	0.677284	40.9826	-0.330623	14.8681	-10.6584	21.3336	14.7563	32.91	19.1538	37.1837	18.4595
31514_at	245.995	220.69	255.595	254.188	181.269	166.122	287.157	186.365	141.131	280.934	208.223	182.291	165.387	188.547	225.701	226.086	197.999	290.932	271.399	199.645	230.491	254.124	194.936	190.056	169.325	243.641
31515_at	132.075	111.018	117.117	81.2887	74.6144	111.555	113.905	93.1961	50.7424	164.196	80.8896	68.3882	38.9222	61.6832	125.598	112	138.397	141.705	145.53	25.6556	137.396	152.548	86.4109	52.2877	107.026	143.951
31516_f_at	25.4559	55.0777	76.3595	71.8499	37.7439	47.8556	28.5838	103.971	64.7935	45.6826	109.391	99.9411	34.9766	52.9313	116.968	58.5344	98.8488	11.9967	35.5675	88.8947	34.7623	3.96758	53.1509	60.5452	30.3164	48.7157
31517_f_at	-78.1238	-66.3389	-37.4766	-57.1317	-110.18	-13.3038	-71.7309	-22.6964	39.3548	-55.5401	-47.5517	-29.8436	-69.0935	-30.2268	-27.5739	-26.5842	-66.7108	-93.7383	-92.9327	-27.3404	-58.6789	-112.889	-41.465	-23.5987	-42.5712	-70.68
31518_i_at	9.77901	-13.7223	6.22211	5.93088	19.0457	10.5148	6.32725	8.73567	9.35458	11.0881	-1.54634	13.0513	15.7108	8.68393	9.55741	14.5561	18.8726	17.2784	27.1228	7.1847	11.4523	23.7309	15.2884	-1.91455	17.7072	21.74
31519_f_at	66.6104	76.5278	136.229	172.465	29.6359	96.0369	59.1934	93.5217	97.9677	126.062	112.731	111.624	63.4733	73.6295	179.675	69.9531	147.691	47.8672	101.219	123.708	69.9525	43.959	72.1419	103.818	63.9556	104.49
31520_at	78.5702	53.8695	89.6268	79.6828	60.9489	50.6197	103.09	99.9293	77.4194	188.277	55.4344	60.5107	94.4522	83.5782	89.3978	57.5755	59.8272	113.007	70.1528	54.1917	116.551	115.697	64.2053	31.699	82.9713	87.1547
31521_f_at	60.3145	194.842	50.2193	29.3946	28.0187	17.8413	124.573	319.164	36.3783	17.0563	121.317	56.3676	24.1385	122.053	88.787	159.83	155.593	68.5187	144.957	95.0836	48.5494	21.7522	201.034	134.021	105.271	88.9827
31522_f_at	40.4373	131.637	77.6374	50.5614	26.8489	29.8171	168.993	444.212	56.15	95.9991	126.149	43.5945	45.2206	276.064	315.728	196.863	127.694	60.3833	104.611	53.2071	151.926	84.5736	164.92	37.0279	210.32	73.4805
31523_f_at	50.5534	235.74	95.2023	73.798	33.3419	29.9881	274.755	623.513	80.5102	148.692	186.27	57.6264	61.5433	478.966	345.216	377.648	169.62	107.685	156.323	87.2175	187.422	143.954	232.637	52.1777	312.184	91.6722
31524_f_at	93.9559	240.715	98.8803	78.9586	85.0067	68.2329	452.09	437.966	160.375	109.747	234.836	92.3869	70.8851	220.497	335.878	271.063	116.026	111.365	158.986	65.777	154.078	144.098	267.261	73.3428	385.856	105.905
31525_s_at	152.835	247.238	175.198	147.887	133.816	338.401	306.868	126.152	422.177	149.315	431.412	222.841	185.287	100.523	168.616	130.595	124.979	95.6294	185.459	141.115	123.855	98.6888	104.615	276.737	132.273	187.846
31526_f_at	57.4955	122.939	125.214	106.963	137.412	242.223	62.5394	79.5352	186.838	464.839	199.881	117.365	135.227	203.143	439.822	473.57	123.351	16.0335	73.1768	127.916	95.9424	48.2402	246.293	287.212	86.1813	45.3425
31527_at	2847.08	3743.96	2868.78	2915.08	3241.26	3103.45	2406.87	4437.69	4189.58	2018.08	4633.97	4733.16	2325.45	4325.4	3306.11	4174.7	4635.37	2125.74	3557.53	4586.4	2044.5	1436.37	3545.06	3643.06	3268.61	5038.63
31528_f_at	90.0681	573.17	173.548	138.89	98.0283	51.3296	759.884	981.041	261.971	295.362	550.201	154.346	147.141	1204.45	1049.26	926.876	489.761	189.074	318.342	188.076	491.992	341.351	668.983	113.995	1024.69	180.624
31529_at	336.346	387.269	471.518	385.115	395.614	407.96	520.693	287.177	290.421	520.54	313.787	378.059	439.105	317.819	547.481	384.274	411.588	403.838	360.28	373.932	529.63	401.483	390.615	339.686	442.88	379.443
31530_at	333.8	251.052	404.532	360.427	184.099	247.109	322.543	166.311	145.819	361.875	260.752	194.359	249.862	165.436	286.447	269.828	329.29	266.738	392.819	177.252	340.004	309.221	206.928	198.545	159.222	287.845
31531_g_at	117.994	107.653	181.375	115.041	94.8942	131.532	99.4452	91.5453	110.678	118.235	97.9721	111.34	60.6961	105.013	99.1406	174.097	94.3519	106.865	134.733	58.2959	120.157	93.2162	113.631	79.3342	90.5501	131.404
31532_at	36.3703	37.0203	39.4546	41.4827	42.2762	38.6406	69.2543	43.8078	30.1821	39.8868	26.1838	23.7334	28.8159	17.2486	38.4488	8.58941	36.1513	34.9085	37.7964	22.0144	-10.32	48.3087	17.5142	98.5352	30.9035	55.7563
31533_s_at	75.0352	137.625	103.158	76.5293	101.342	100.263	82.2784	137.337	62.6842	76.292	57.8575	109.848	67.1284	89.6286	114.556	98.2331	92.763	106.845	67.7007	78.9151	69.8532	76.9098	107.777	82.1863	129.247	73.7012
31534_at	53.314	33.853	105.342	60.0774	40.6483	14.9409	47.2046	17.6704	32.8513	52.8225	41.7102	32.1758	0.982107	19.6521	45.9393	31.5614	33.1402	66.5682	49.1147	8.43176	34.5671	46.6884	23.6411	22.447	34.7197	70.7104
31535_i_at	286.113	238.052	387.073	341.52	253.774	363.97	302.587	163.841	212.074	393.946	212.398	206.46	222.603	165.066	273.941	230.974	247.683	325.85	243.646	264.651	327.885	273.507	285.105	239.447	196.487	279.954
31536_at	291.484	863.607	537.699	761.418	923.643	1696.09	425.728	1149.64	1073.22	411.312	1386.77	1041.33	862.449	1597.74	1111.15	1317.19	589.211	296.042	643.462	1104.78	636.459	266.358	894.496	1430.28	730.505	373.029
31537_at	73.877	35.8266	75.7463	75.7623	25.4809	55.9993	70.1185	21.6281	14.7815	82.4469	42.3915	5.56239	30.9948	32.3071	39.4502	34.6345	17.2803	63.2891	36.4443	17.8202	80.0114	67.4139	30.4761	32.5284	44.1833	67.3803
31538_at	3858.49	3568.89	2560.07	3682.01	3804.5	3141.21	2643.65	4237.01	4803.12	3684.05	4815.65	4024.79	3355.67	3807.53	2902.01	4225.96	5472.93	2926.16	3379.99	4534.5	3073.94	2866.11	3370.49	3884.78	2962.86	4449.96
31539_r_at	11.1541	1.50669	-0.373076	7.51078	17.1477	10.7468	25.8529	-4.72068	-52.8976	5.70422	7.77927	10.4667	2.58366	8.59767	6.15638	-7.23611	-0.0945169	14.8828	6.81798	3.39535	-1.47433	20.2726	9.77489	15.1339	-1.73042	31.9084
31540_at	26.7391	27.7993	12.8639	12.0506	16.7315	9.4833	15.5019	6.06603	9.0613	15.3688	16.2139	14.2839	11.8532	23.1666	23.0667	32.0804	20.9166	25.1732	23.0309	11.9647	16.6172	16.3465	18.472	17.3066	34.7037	23.4199
31541_at	-19.123	-5.28788	-12.5198	-7.89719	-17.8845	-10.1759	-27.9583	-8.07375	-7.8137	-18.2261	-14.3346	-17.2184	-18.402	-12.7933	-14.1021	-8.18457	-16.4756	-18.4655	-17.2907	-7.74796	-27.206	-29.4872	-14.7844	-6.03283	-17.6214	-22.3056
31542_at	8.3213	11.2962	15.1326	15.0758	7.19612	4.94772	21.1836	31.8066	12.2626	20.1009	7.23423	20.4523	13.2898	8.29188	9.35298	-19.4876	4.16099	14.9405	19.7955	-0.772443	24.0632	11.5116	16.7371	29.8269	16.2378	13.9423
31543_at	-175.867	-125.024	-117.8	7.52292	-99.2543	-94.8137	-159.404	-59.8348	-79.6776	-139.096	-36.5622	-79.7605	-102.745	-76.8493	-116.857	-79.0781	-103.032	-182.623	-93.9038	-26.6313	-93.0832	-204.174	-113.75	-58.3026	-134.863	-123.237
31544_at	316.537	408.582	395.382	408.186	328.887	363.273	411.162	267.843	256.768	322.853	382.237	264.947	346.194	250.028	452.608	318.325	310.225	345.625	331.732	295.923	310.202	332.45	389.444	313.006	191.506	342.9
31545_at	3205.89	3515.46	3143.06	4604.16	4042.05	3357.76	1610.64	4094.25	4118.03	3536.29	5040.27	3918.19	3064.76	4850.56	3544.92	3938.1	5160.17	2151.06	4460.44	4712.16	2273.54	1994.19	3420.63	4781.54	3243.49	5462.8
31546_at	1633.98	2218.3	1271.65	2217.51	1991.19	1370.01	847.52	2536.1	2597.5	1415.81	2787.18	2872.76	1603.25	2571.96	927.414	2173.5	2308.51	622.274	2559.39	3425.1	1030.79	1184.78	1801.31	2323.54	1811.76	2935.58
31547_at	490.371	511.181	721.257	505.422	456.9	1055.43	619.837	392.48	487.991	782.34	663.805	628.093	369.522	649.683	756.701	627.963	711.944	515.647	403.001	614.955	692.127	392.023	572.056	536.467	489.651	702.04
31548_at	69.9426	41.3118	61.8619	54.4029	35.7412	37.2194	55.6259	30.4019	32.4547	58.8639	47.069	39.0135	18.631	35.8371	41.3498	36.4799	67.0825	40.7728	19.597	22.927	50.6523	44.7525	43.4844	29.7574	50.6778	52.6377
31549_at	24.3604	15.083	23.3659	23.8248	22.631	11.6967	11.2342	16.2788	22.1637	19.9128	13.1205	18.5584	32.082	13.2905	23.6982	30.1577	26.3465	28.5061	18.4828	10.8969	0.0949905	36.1219	11.8425	10.0447	23.61	22.3381
31550_at	148.338	116.584	172.881	200.161	114.018	151.487	129.321	103.038	87.9791	172.436	120.841	137.049	88.5522	109.861	211.032	104.443	252.606	117.372	201.77	148.503	163.055	110.905	99.7886	152.661	114.661	154.689
31551_at	42.0539	9.54446	28.6697	26.5075	19.7603	45.4293	29.6711	23.8032	31.6146	37.7876	25.3661	25.2468	17.4802	18.661	35.4816	20.5033	30.0716	35.1721	39.4426	14.3999	35.4072	39.2748	17.1879	18.8966	22.8506	23.6823
31552_at	166.386	142.225	171.244	116.292	118.914	122.312	128.191	63.9377	66.199	145.228	123.813	99.8514	80.5616	88.348	123.105	100.631	81.0213	121.707	128.766	80.8697	126.346	117.471	101.741	109.161	101.677	89.1286
31553_at	11.0695	-26.1006	14.1655	8.75973	4.47381	9.85712	2.12969	-3.16035	23.917	8.84162	-13.3061	6.99163	4.62538	-7.57178	23.9056	11.327	10.7387	12.6398	9.73723	12.8348	-0.203757	22.0005	12.4638	2.93635	10.8915	12.0212
31554_at	466.869	363.157	375.339	523.481	312.442	312.931	458.098	280.371	219.436	527.972	296.745	309.396	260.651	285.068	353.035	310.695	415.856	452.022	568.667	329.268	441.602	513.787	282.006	301.283	231.014	526.41
31555_at	918.454	728.89	840.046	968.806	141.333	619.899	967.869	679.892	676.787	978.775	768.182	812.051	728.888	774.966	743.73	737.578	831.018	1037.91	964.267	673.343	770.905	927.413	757.723	646.211	642.812	956.31
31556_at	105.831	93.9206	93.8486	100.517	73.7581	86.0735	139.49	60.1188	66.6259	115.247	62.1101	55.7119	81.0913	66.5567	79.2366	93.6738	77.574	99.5648	91.0142	56.6204	125.032	125.58	68.368	59.3143	94.4195	177.783
31557_at	6336.55	7294.08	6579.89	4694.22	6317.23	6098.96	6744.25	5272.74	6602.19	3620.29	7337.71	4544.12	4699.84	4813.55	5514.38	6463.77	5768.87	6397.87	5593.77	5771.56	5956.98	6498.24	7042.88	5632.2	5150.34	4498.55
31558_at	94.5106	22.3793	40.5256	64.1784	44.7439	35.2556	61.7619	36.681	28.4735	39.7757	51.5785	43.3877	99.8263	32.302	42.0635	28.3647	38.7843	83.2929	80.4497	24.6675	36.5848	84.7558	49.1817	42.6628	59.8757	53.5631
31559_at	124.549	107.922	138.575	119.122	90.1649	118.982	125.268	77.0613	96.0434	117.731	93.0793	91.4044	83.0734	83.0898	127.181	78.8394	188.789	112.015	91.9147	110.65	162.222	104.13	100.521	82.368	101.893	130.637
